X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
107.5,20.5,train,0.0017023450671957607,7.581644728516195,0.3262684109878412
100.5,9.5,train,0.00519189501871198,61.71395304405974,0.700145194122203
98.5,5.5,train,0.005433463773417967,75.0075238266274,0.716487179239967
103.5,5.5,train,0.004708616248697783,38.03064622107993,0.664570026621932
106.5,5.5,train,0.004369476556657827,29.848400431495758,0.6371137146767007
112.5,4.5,train,0.004562457438775754,34.30131244762442,0.653001558327811
107.5,1.5,train,0.0033242696934735094,16.081811679381847,0.5375377727200179
114.5,-4.5,train,0.005350765182516382,71.22601337000128,0.710995453741522
143.5,-10.5,train,0.005208974098883235,62.76121345810387,0.701330910365858
143.5,-11.5,train,0.005194981284644429,62.23369128987676,0.700359806248788
123.5,-14.5,train,0.0035405028541100375,19.888664068660553,0.5601642319891499
-38.5,-18.5,train,0.01470791205918102,98.4706619903451,0.9670267237812946
150.5,-20.5,train,0.012246240890551804,94.18427774462414,0.941631556986943
151.5,-21.5,train,0.013906575631664336,95.57488065045393,0.9602902087162248
152.5,-21.5,train,0.014249382406692554,96.99976616979647,0.9633259008737711
152.5,-22.5,train,0.01529369493140981,99.99998676724614,0.971216483645491
-91.5,20.5,test,0.004455740990160693,32.49769105013014,0.644303721823499
-89.5,22.5,test,0.006157950981115156,88.70962971305568,0.7603486716887415
-82.5,24.5,test,0.005071145585178698,49.41454861875191,0.6916267849917466
